,ranking,name,position,age,nation,club,value,matches,goals,assist,yellowcard,redcard,subsin,subsout
0,1,Kylian Mbappé,Centre-Forward,23,France,Paris Saint-Germain,€160.00m,37,26,17,9,0,2,12
1,2,Erling Haaland,Centre-Forward,21,Norway,Borussia Dortmund,€150.00m,24,24,6,3,0,4,6
2,3,Vinicius Junior,Left Winger,21,Brazil,Real Madrid,€100.00m,39,17,14,7,0,2,21
3,4,Mohamed Salah,Right Winger,29,Egypt,Liverpool FC,€100.00m,43,30,11,1,0,2,10
4,5,Harry Kane,Centre-Forward,28,England,Tottenham Hotspur,€100.00m,42,23,6,3,0,3,4
5,6,Romelu Lukaku,Centre-Forward,28,Belgium,Chelsea FC,€100.00m,34,12,2,0,0,10,7
6,7,Bruno Fernandes,Attacking Midfield,27,Portugal,Manchester United,€90.00m,40,10,14,7,0,5,13
7,8,Kevin De Bruyne,Attacking Midfield,30,Belgium,Manchester City,€90.00m,33,11,8,2,0,6,12
8,9,Neymar,Left Winger,30,Brazil,Paris Saint-Germain,€90.00m,21,5,5,5,0,1,8
9,10,Phil Foden,Central Midfield,21,England,Manchester City,€85.00m,34,11,8,1,0,7,13
10,11,Jadon Sancho,Left Winger,22,England,Manchester United,€85.00m,33,5,3,0,0,10,14
11,12,Dusan Vlahovic,Centre-Forward,22,Serbia,Juventus FC,€85.00m,37,27,8,4,0,3,9
12,13,Marcus Rashford,Left Winger,24,England,Manchester United,€85.00m,26,5,2,3,0,11,13
13,14,Joshua Kimmich,Defensive Midfield,27,Germany,Bayern Munich,€85.00m,30,3,9,3,0,0,4
14,15,Raheem Sterling,Left Winger,27,England,Manchester City,€85.00m,36,14,5,1,0,12,6
15,16,Pedri,Central Midfield,19,Spain,FC Barcelona,€80.00m,20,3,1,1,0,3,9
16,17,Trent Alexander-Arnold,Right-Back,23,England,Liverpool FC,€80.00m,35,2,17,2,0,0,5
17,18,Jack Grealish,Left Winger,26,England,Manchester City,€80.00m,30,4,3,2,0,5,12
18,19,Sadio Mané,Left Winger,29,Senegal,Liverpool FC,€80.00m,43,17,4,6,0,3,12
19,20,Heung-min Son,Left Winger,29,"Korea, South",Tottenham Hotspur,€80.00m,36,14,7,2,0,6,13
20,21,Jude Bellingham,Central Midfield,18,England,Borussia Dortmund,€75.00m,38,6,13,9,0,1,9
21,22,Declan Rice,Defensive Midfield,23,England,West Ham United,€75.00m,39,4,4,9,0,2,2
22,23,Mason Mount,Attacking Midfield,23,England,Chelsea FC,€75.00m,42,8,12,2,0,12,12
23,24,Rúben Dias,Centre-Back,24,Portugal,Manchester City,€75.00m,35,2,4,6,0,3,3
24,25,Bernardo Silva,Attacking Midfield,27,Portugal,Manchester City,€75.00m,40,10,4,5,0,3,10
25,26,Marquinhos,Centre-Back,27,Brazil,Paris Saint-Germain,€75.00m,32,3,1,3,0,0,0
26,27,Florian Wirtz,Attacking Midfield,18,Germany,Bayer 04 Leverkusen,€70.00m,31,10,14,3,0,4,19
27,28,João Félix,Second Striker,22,Portugal,Atlético de Madrid,€70.00m,31,8,6,3,0,13,13
28,29,Alphonso Davies,Left-Back,21,Canada,Bayern Munich,€70.00m,23,0,6,2,0,1,9
29,30,Lautaro Martínez,Centre-Forward,24,Argentina,Inter Milan,€70.00m,39,16,2,6,0,7,29
30,31,Achraf Hakimi,Right-Back,23,Morocco,Paris Saint-Germain,€70.00m,37,5,5,7,1,3,4
31,32,Rodri,Defensive Midfield,25,Spain,Manchester City,€70.00m,34,3,1,7,0,1,6
32,33,Mikel Oyarzabal,Left Winger,24,Spain,Real Sociedad,€70.00m,34,15,4,1,1,6,10
33,34,Federico Chiesa,Right Winger,24,Italy,Juventus FC,€70.00m,18,4,4,0,0,3,10
34,35,Frenkie de Jong,Central Midfield,24,Netherlands,FC Barcelona,€70.00m,37,4,5,7,0,4,13
35,36,Matthijs de Ligt,Centre-Back,22,Netherlands,Juventus FC,€70.00m,35,2,0,3,0,1,1
36,37,Kai Havertz,Attacking Midfield,22,Germany,Chelsea FC,€70.00m,36,12,5,5,0,9,11
