,club,league
0,Manchester City,Premier League
1,Paris Saint-Germain,Ligue 1
2,Liverpool FC,Premier League
3,Chelsea FC,Premier League
4,Bayern Munich,Bundesliga
5,Manchester United,Premier League
6,Real Madrid,LaLiga
7,FC Barcelona,LaLiga
8,Atlético de Madrid,LaLiga
9,Tottenham Hotspur,Premier League
10,Borussia Dortmund,Bundesliga
11,Juventus FC,Serie A
12,Inter Milan,Serie A
13,Leicester City,Premier League
14,Arsenal FC,Premier League
15,SSC Napoli,Serie A
16,AC Milan,Serie A
17,RB Leipzig,Bundesliga
18,Everton FC,Premier League
19,Bayer 04 Leverkusen,Bundesliga
20,Aston Villa,Premier League
21,Sevilla FC,LaLiga
22,Real Sociedad,LaLiga
23,Atalanta BC,Serie A
24,Villarreal CF,LaLiga
25,AS Roma,Serie A
26,West Ham United,Premier League
27,AS Monaco,Ligue 1
28,Ajax Amsterdam,Eredivisie
29,Wolverhampton Wanderers,Premier League
30,Olympique Lyon,Ligue 1
31,Valencia CF,LaLiga
32,Newcastle United,Premier League
33,SS Lazio,Serie A
34,SL Benfica,Liga Portugal
35,Leeds United,Premier League
36,Sporting CP,Liga Portugal
37,FC Porto,Liga Portugal
38,Olympique Marseille,Ligue 1
39,OGC Nice,Ligue 1
40,Southampton FC,Premier League
41,LOSC Lille,Ligue 1
42,Real Betis Balompié,LaLiga
43,Crystal Palace,Premier League
44,Brighton & Hove Albion,Premier League
45,ACF Fiorentina,Serie A
46,VfL Wolfsburg,Bundesliga
47,US Sassuolo,Serie A
48,Stade Rennais FC,Ligue 1
49,Torino FC,Serie A
50,Borussia Mönchengladbach,Bundesliga
51,Red Bull Salzburg,Bundesliga
52,Brentford FC,Premier League
53,Athletic Bilbao,LaLiga
54,TSG 1899 Hoffenheim,Bundesliga
55,Eintracht Frankfurt,Bundesliga
56,Shakhtar Donetsk,Premier Liga
57,AFC Bournemouth,Championship
58,Zenit St. Petersburg,Premier Liga
59,VfB Stuttgart,Bundesliga
60,Club Brugge KV,Jupiler Pro League
61,PSV Eindhoven,Eredivisie
62,Getafe CF,LaLiga
63,Norwich City,Premier League
64,SC Freiburg,Bundesliga
65,Fulham FC,Championship
66,Bologna FC 1909,Serie A
67,Burnley FC,Premier League
68,Watford FC,Premier League
69,Fenerbahce SK,Süper Lig
70,Feyenoord Rotterdam,Eredivisie
71,Rangers FC,Premiership
72,Cagliari Calcio,Serie A
73,Hellas Verona,Serie A
74,Celta de Vigo,LaLiga
75,RCD Espanyol Barcelona,LaLiga
76,1.FSV Mainz 05,Bundesliga
77,RC Lens,Ligue 1
78,Spartak Moscow,Premier Liga
79,Olympiacos Piraeus,Super League 1
80,Stade Reims,Ligue 1
81,SC Braga,Liga Portugal
82,KRC Genk,Jupiler Pro League
83,Genoa CFC,Serie A
84,Besiktas JK,Süper Lig
85,Trabzonspor,Süper Lig
86,Dynamo Kyiv,Premier Liga
87,Galatasaray A.S.,Süper Lig
88,AS Saint-Étienne,Ligue 1
89,CSKA Moscow,Premier Liga
90,Montpellier HSC,Ligue 1
91,Dynamo Moscow,Premier Liga
92,Udinese Calcio,Serie A
93,FC Nantes,Ligue 1
94,RC Strasbourg Alsace,Ligue 1
95,Sheffield United,Championship
96,FC Augsburg,Bundesliga
97,CA Osasuna,LaLiga
98,GNK Dinamo Zagreb,1.HNL
99,Hertha BSC,Bundesliga
100,RCD Espanyol Barcelona,LaLiga
101,1.FSV Mainz 05,Bundesliga
102,RC Lens,Ligue 1
103,Spartak Moscow,Premier Liga
104,Olympiacos Piraeus,Super League 1
105,Stade Reims,Ligue 1
106,SC Braga,Liga Portugal
107,KRC Genk,Jupiler Pro League
108,Genoa CFC,Serie A
109,Besiktas JK,Süper Lig
110,Trabzonspor,Süper Lig
111,Dynamo Kyiv,Premier Liga
112,Galatasaray A.S.,Süper Lig
113,AS Saint-Étienne,Ligue 1
114,CSKA Moscow,Premier Liga
115,Montpellier HSC,Ligue 1
116,Dynamo Moscow,Premier Liga
117,Udinese Calcio,Serie A
118,FC Nantes,Ligue 1
119,RC Strasbourg Alsace,Ligue 1
120,Sheffield United,Championship
121,FC Augsburg,Bundesliga
122,CA Osasuna,LaLiga
123,GNK Dinamo Zagreb,1.HNL
124,Hertha BSC,Bundesliga
125,RCD Espanyol Barcelona,LaLiga
126,1.FSV Mainz 05,Bundesliga
127,RC Lens,Ligue 1
128,Spartak Moscow,Premier Liga
129,Olympiacos Piraeus,Super League 1
130,Stade Reims,Ligue 1
131,SC Braga,Liga Portugal
132,KRC Genk,Jupiler Pro League
133,Genoa CFC,Serie A
134,Besiktas JK,Süper Lig
135,Trabzonspor,Süper Lig
136,Dynamo Kyiv,Premier Liga
137,Galatasaray A.S.,Süper Lig
138,AS Saint-Étienne,Ligue 1
139,CSKA Moscow,Premier Liga
140,Montpellier HSC,Ligue 1
141,Dynamo Moscow,Premier Liga
142,Udinese Calcio,Serie A
143,FC Nantes,Ligue 1
144,RC Strasbourg Alsace,Ligue 1
145,Sheffield United,Championship
146,FC Augsburg,Bundesliga
147,CA Osasuna,LaLiga
148,GNK Dinamo Zagreb,1.HNL
149,Hertha BSC,Bundesliga
150,RCD Espanyol Barcelona,LaLiga
151,1.FSV Mainz 05,Bundesliga
152,RC Lens,Ligue 1
153,Spartak Moscow,Premier Liga
154,Olympiacos Piraeus,Super League 1
155,Stade Reims,Ligue 1
156,SC Braga,Liga Portugal
157,KRC Genk,Jupiler Pro League
158,Genoa CFC,Serie A
159,Besiktas JK,Süper Lig
160,Trabzonspor,Süper Lig
161,Dynamo Kyiv,Premier Liga
162,Galatasaray A.S.,Süper Lig
163,AS Saint-Étienne,Ligue 1
164,CSKA Moscow,Premier Liga
165,Montpellier HSC,Ligue 1
166,Dynamo Moscow,Premier Liga
167,Udinese Calcio,Serie A
168,FC Nantes,Ligue 1
169,RC Strasbourg Alsace,Ligue 1
170,Sheffield United,Championship
171,FC Augsburg,Bundesliga
172,CA Osasuna,LaLiga
173,GNK Dinamo Zagreb,1.HNL
174,Hertha BSC,Bundesliga
175,RCD Espanyol Barcelona,LaLiga
176,1.FSV Mainz 05,Bundesliga
177,RC Lens,Ligue 1
178,Spartak Moscow,Premier Liga
179,Olympiacos Piraeus,Super League 1
180,Stade Reims,Ligue 1
181,SC Braga,Liga Portugal
182,KRC Genk,Jupiler Pro League
183,Genoa CFC,Serie A
184,Besiktas JK,Süper Lig
185,Trabzonspor,Süper Lig
186,Dynamo Kyiv,Premier Liga
187,Galatasaray A.S.,Süper Lig
