,id,comment,contents
0,  ITSub잇섭,"※ 본 영상 제작 전 삼성전자에 두 번 이상 문의 후 LTPO라고 확답을 받았고 재차 영상 제작을 하였는데… 게재 후 다시 연락이 와서 영상 내 정보를 정정합니다. S22 울트라 모델은 개선된 LTPO가 맞지만, S22/S22+ 모델은 LTPS가 적용되었으며,S22/S22+는 기본 48~120Hz로 작동하고 새로운 구동방식을 통해 프로세서와 데이터 전송 주파수를 10Hz로 낮추었다고 합니다. 시청에 참조 부탁드립니다! 혹시 추가로 새로운 정보가 들어올 경우에도 업데이트 드리도록 하겠습니다",ITSub
1,  홀리몰리과카몰리,아 진짜 디자인 미쳤어 너무 이쁘다 색도 이쁘게 잘 뽑았고 S21이랑 전체적으로는 비슷한데 왜이렇게 이뻐보이나 했더니 플랫한 디자인에 무광유리로 바껴서 이뻐진 거구나 디자인 이대로 굳히자 삼성 물론 울트라 빼고,ITSub
2,  RC Play Ground,울트라는 동영상 촬영시 8k 60프레임 지원인가요?4k고 60프레임이 최고인가요?,ITSub
3,  아이스아메리카노,플립때도 그렇고 이번 s22도 그렇고 디자인이 젊은세대 감성에 가까워져서 좋네요ㅎㅎ 저도 꾸준히 갤럭시 쓰다가 갤럭시20때 아재디자인에 짜증나서 아이폰12로 넘어갔었죠... 플립이랑 이번 s22는 진짜 예뻐서 다시 갤럭시 넘어가고싶은 마음이ㅠㅠ,ITSub
4,  한슬,플랫디자인은 예전부터 갤럭시 쓰던 사람으로엣지 나오기전 플랫을 선호했어서 이번에 2개의 모델을 플랫으로 만든건 너무 좋던데요 ㅎㅎ s10e부터 플랫 조금씩 할려는 모습이보여서 너무좋아요,ITSub
5,  You Thank,확실히 이번 삼성의 신제품은 전작과 많은 차이가 보이네요 ㄷㄷ핸드폰을 무광 유리로 바꾼 점은 비록 아이폰을 모방했다고 할 수 있지만 디자인 적인 면에서 개인적으로 너무 이쁜 것 같아요ㅠ 오늘도 좋은 리뷰 감사합니다,ITSub
6,  p,플립 판매량에서 디자인의 중요성을 드디어 깨달은건가,ITSub
7,  Steve Ro,이쁜 디자인 더 완성도있게 다듬어서 나오고 무엇보다 반도체 가격 이슈있었음에도 가격 동결한 부분은 참 좋네요ㅎㅎ보라색 하나 사려구요,ITSub
8,  아깝지만주는나무,"S22/S22+는 전작대비 '발전' 보다는 '개선'에 힘을 줬다는 인상을 받았네요. 반면에 울트라는 말그대로 발전, 하이엔드로 때려박았다는 느낌이고.(킹치만 프로세서는...ㅠ)디자인이나 편의성 면에서는 S22/S22+를, 성능 중시하거나 테크충이라면 울트라를 사는 게 맞는 거 같아요. 갠적으론 무광유리에 플랫디스플레이가 아이폰을 따라했을지언정 너무 이쁘네요 ㅋㅋ 울트라는 색깔은 차치하더라도 너무 아재같이 생겼.. 으읍",ITSub
9,  나물이,잇섭님! 기기를 대여받아도 솔직하게 리뷰해주셔서 감사합니다. 덕분에 객관적으로 파악하고 구매할 수 있었어요~ s22 핑크 사전예약하고 기다리고 있어요! 설레용,ITSub
10,  김민수,그 원가 절감하던 삼성이 맞았다!!,ITSub
11,  MO ON,"S7,S9 같이 전 시리즈를 개선해서 출시한 폰들이 보통 퀄리티는 더 좋더라고요ㅋㅋ 이번 S22도 명작일거 같은 느낌이 드네요",ITSub
12,  Nature,디자인에 계속 신경쓰는거 같아서 너무 좋아요 앞으로 계속 기대가 됨,ITSub
13,  고앵,확실히 삼성이 z플립3가 불티나게 팔리고 삼성 스마트폰에 대한 인식을 바꿔주면서디자인이 어느 정도의 스펙을 감수할 정도로확실히 예뻐버리면  어떻게든 팔린다는걸 알아버린거 같음,ITSub
14,  loeypop,"the way Samsung included all the functions of the camera on all the s22 series is totally speaking volume. they used to leave the better updates for the higher-end (ultra) model and leave the s22, s22+ to drown by themselves t-tbut now, it's all about equality, and the black color t-t it's so freaking sleek!kinda hope they come out with lavender for s22 ultra tho t-t",ITSub
15,  상원,"빛반사, 그림자 지우기는 진짜 혁신이네요 무엇보다 가격이 동결인게 제일 놀라울뿐",ITSub
16,  동영김,애니콜 화형식이나 갤럭시 S6=>S7때만큼은 아니지만 재용형이 줄빠따를 든건지 태문형이 머리를 봉합한건지 나아진점이 있는거 같네요개인적으로 후면 플랫과 노트와 S에 통합 가격 동결 등은 칭찬해 줄만 하다고 생각합니다,ITSub
17,  카드값줘체리,이 발빠른 리뷰는 가슴이 웅장해진다 삼성 골수팬으로써 이번 모델은 한번 구경하고싶다고 생각하고 있었는데 잇섭님이 올려주셔서 구경하네요,ITSub
18,  Jun,잇섭님 혹시 정식 출시가 되면 플러스 와 기본 모델 그리고 울트라의 성능 비교를 통해 각각의 장점과 각 모델에 맞는 구매층을 추천해주시면 좋을 것 같아요.,ITSub
19,  scarsia,오 진짜 전작 대비 많이 좋아졌네요. 특히 카메라 성능이 앞으로 몇 번 더 패치되면 더욱더 안정화 될 것 같아 기대가 큽니다,ITSub
